,feature,tfidf,mi_value,df_dep,df_nonDep,cpd
3,able,0.0,0.024471582354118372,7,9,0.125
7,absolutely,0.0,0.018062051483395403,7,5,0.16666666666666666
14,accept,0.0,0.004475213862199281,2,1,0.3333333333333333
32,actually,0.0,0.031199505796994625,17,4,0.6190476190476191
53,adult,0.0,0.004639163578554617,1,2,0.3333333333333333
56,advice,0.0,0.01027523787415664,6,1,0.7142857142857143
71,ago,0.0,0.06453806165635427,31,12,0.4418604651162791
75,ahead,0.0,0.004639163578554617,1,2,0.3333333333333333
85,allowed,0.0,0.007676088074605134,2,3,0.2
87,almost,0.0,0.028215816373409988,15,4,0.5789473684210527
89,along,0.0,0.006247034688436352,1,3,0.5
92,already,0.0,0.014888995558983466,7,3,0.4
95,also,0.0,0.05847102675120449,29,10,0.48717948717948717
98,although,0.0,0.01027523787415664,6,1,0.7142857142857143
101,always,0.0,0.044935513156305146,20,10,0.3333333333333333
102,amazing,0.2585105253273459,0.018396590702014833,5,7,0.16666666666666666
111,amount,0.0,0.010401701669030471,5,2,0.42857142857142855
126,anorexia,0.0,0.004475213862199281,2,1,0.3333333333333333
128,another,0.0,0.010713043329591993,3,4,0.14285714285714285
129,antidepressants,0.0,0.008954287188681836,4,2,0.3333333333333333
132,anxiety,0.0,0.07188660707625039,43,4,0.8297872340425532
134,anxious,0.0,0.007511412231205749,3,2,0.2
136,anymore,0.0,0.037266811320235946,23,2,0.84
138,anything,0.0,0.060735756082916634,37,3,0.85
139,anyway,0.0,0.010401701669030471,5,2,0.42857142857142855
140,anyways,0.0,0.005918409128681631,3,1,0.5
158,appreciate,0.0,0.004475213862199281,2,1,0.3333333333333333
167,arent,0.0,0.005918409128681631,3,1,0.5
170,around,0.2313345350376785,0.029705214071195495,16,4,0.6
173,art,0.0,0.004639163578554617,1,2,0.3333333333333333
178,ask,0.0,0.010401701669030471,5,2,0.42857142857142855
181,asleep,0.0,0.0088183915378462,5,1,0.6666666666666666
204,attack,0.0,0.0088183915378462,5,1,0.6666666666666666
208,attempt,0.0,0.005918409128681631,3,1,0.5
230,away,0.0,0.028135879940401794,17,2,0.7894736842105263
232,awful,0.0,0.007511412231205749,3,2,0.2
234,awkward,0.0,0.004475213862199281,2,1,0.3333333333333333
236,baby,0.0,0.012731415050296607,1,7,0.75
237,back,0.0,0.063076667987765,32,10,0.5238095238095238
265,beautiful,0.0,0.012731415050296607,1,7,0.75
266,became,0.0,0.004475213862199281,2,1,0.3333333333333333
267,become,0.0,0.007511412231205749,3,2,0.2
269,becoming,0.0,0.004475213862199281,2,1,0.3333333333333333
278,beginning,0.0,0.005918409128681631,3,1,0.5
282,behind,0.0,0.007366125204724907,4,1,0.6
284,believe,0.0,0.0088183915378462,5,1,0.6666666666666666
292,best,0.0,0.027708650689466707,7,11,0.2222222222222222
294,better,0.0,0.042085112976262495,17,11,0.21428571428571427
297,big,0.0,0.020445542049384972,3,10,0.5384615384615384
299,biggest,0.0,0.004475213862199281,2,1,0.3333333333333333
306,birthday,0.0,0.011102312798384919,1,6,0.7142857142857143
307,bit,0.0,0.017707917033761802,10,2,0.6666666666666666
320,blocked,0.0,0.004475213862199281,2,1,0.3333333333333333
322,blood,0.0,0.0088183915378462,5,1,0.6666666666666666
332,book,0.0,0.004639163578554617,1,2,0.3333333333333333
334,books,0.0,0.004639163578554617,1,2,0.3333333333333333
343,boss,0.0,0.005918409128681631,3,1,0.5
361,boyfriend,0.0,0.015026108074736599,6,4,0.2
369,brain,0.0,0.013202791058922381,8,1,0.7777777777777778
371,break,0.0,0.007366125204724907,4,1,0.6
374,breakup,0.0,0.005918409128681631,3,1,0.5
387,brother,0.0,0.010713043329591993,3,4,0.14285714285714285
413,burnt,0.0,0.004475213862199281,2,1,0.3333333333333333
422,buy,0.0,0.007511412231205749,3,2,0.2
429,call,0.0,0.014673558930562297,9,1,0.8
433,came,0.0,0.016620154418247594,6,5,0.09090909090909091
440,cannot,0.0,0.0088183915378462,5,1,0.6666666666666666
441,cant,0.0,0.03269872507247686,18,4,0.6363636363636364
443,capable,0.0,0.004639163578554617,1,2,0.3333333333333333
447,car,0.0,0.013935746342606649,3,6,0.3333333333333333
448,care,0.0,0.011853685370655224,6,2,0.5
450,career,0.0,0.006247034688436352,1,3,0.5
461,cats,0.0,0.007676088074605134,2,3,0.2
478,changed,0.0,0.007676088074605134,2,3,0.2
499,chest,0.0,0.005918409128681631,3,1,0.5
503,child,0.0,0.004475213862199281,2,1,0.3333333333333333
518,chronic,0.0,0.005918409128681631,3,1,0.5
525,classes,0.0,0.007511412231205749,3,2,0.2
528,clean,0.0,0.014888995558983466,7,3,0.4
531,clearly,0.0,0.005918409128681631,3,1,0.5
557,come,0.0,0.018062051483395403,7,5,0.16666666666666666
563,coming,0.0,0.01199018674113236,5,3,0.25
565,comments,0.0,0.004639163578554617,1,2,0.3333333333333333
584,completely,0.0,0.025132207033607572,15,2,0.7647058823529411
598,confident,0.0,0.004639163578554617,1,2,0.3333333333333333
614,constantly,0.0,0.014673558930562297,9,1,0.8
623,continue,0.0,0.004639163578554617,1,2,0.3333333333333333
647,couch,0.0,0.004475213862199281,2,1,0.3333333333333333
648,could,0.0,0.05850243668739469,26,13,0.3333333333333333
649,couldnt,0.0,0.01477148074788404,8,2,0.6
659,couple,0.0,0.025132207033607572,15,2,0.7647058823529411
675,crazy,0.0,0.007511412231205749,3,2,0.2
692,cry,0.0,0.008954287188681836,4,2,0.3333333333333333
693,crying,0.0,0.007366125204724907,4,1,0.6
709,dad,0.0,0.017924322323479035,8,4,0.3333333333333333
711,daily,0.0,0.0088183915378462,5,1,0.6666666666666666
725,daughter,0.0,0.006247034688436352,1,3,0.5
728,day,0.3713642719759441,0.07025215495375017,21,25,0.08695652173913043
730,days,0.0,0.04179944229294129,21,7,0.5
732,deal,0.0,0.01623735334965299,9,2,0.6363636363636364
743,decided,0.0,0.016973598179591265,4,7,0.2727272727272727
747,deep,0.0,0.017629232152034255,11,1,0.8333333333333334
751,definitely,0.0,0.007511412231205749,3,2,0.2
752,degree,0.0,0.004475213862199281,2,1,0.3333333333333333
761,depressed,0.0,0.023598016467192014,15,1,0.875
763,depression,0.0,0.09232256111432824,52,8,0.7333333333333333
766,depressive,0.0,0.011736694262543885,7,1,0.75
779,despite,0.0,0.004475213862199281,2,1,0.3333333333333333
783,destroying,0.0,0.004475213862199281,2,1,0.3333333333333333
798,didnt,0.0,0.008954287188681836,4,2,0.3333333333333333
802,difference,0.0,0.007511412231205749,3,2,0.2
803,different,0.0,0.017924322323479035,8,4,0.3333333333333333
823,disorder,0.0,0.023598016467192014,15,1,0.875
834,divorce,0.0,0.004639163578554617,1,2,0.3333333333333333
840,doesnt,0.0,0.005918409128681631,3,1,0.5
841,dog,0.0,0.02021863482813254,4,9,0.38461538461538464
846,done,0.0,0.016149028860502547,10,1,0.8181818181818182
847,dont,0.0,0.03573229650436961,19,5,0.5833333333333334
872,dreams,0.0,0.01199018674113236,5,3,0.25
877,drive,0.0,0.007366125204724907,4,1,0.6
879,driving,0.0,0.007366125204724907,4,1,0.6
888,due,0.0,0.016345312742577986,8,3,0.45454545454545453
901,early,0.0,0.004475213862199281,2,1,0.3333333333333333
907,easily,0.0,0.004475213862199281,2,1,0.3333333333333333
909,eat,0.0,0.007366125204724907,4,1,0.6
911,eating,0.0,0.014888995558983466,7,3,0.4
919,education,0.0,0.005918409128681631,3,1,0.5
924,eight,0.0,0.004475213862199281,2,1,0.3333333333333333
938,emo,0.0,0.004475213862199281,2,1,0.3333333333333333
939,emotional,0.0,0.007366125204724907,4,1,0.6
946,end,0.0,0.01199018674113236,5,3,0.25
947,ended,0.0,0.010547634895469468,4,3,0.14285714285714285
951,energy,0.0,0.011736694262543885,7,1,0.75
956,enjoy,0.0,0.007366125204724907,4,1,0.6
958,enough,0.0,0.029705214071195495,16,4,0.6
963,episode,0.0,0.0088183915378462,5,1,0.6666666666666666
969,especially,0.0,0.01623735334965299,9,2,0.6363636363636364
978,even,0.0,0.08319218071569053,49,5,0.8148148148148148
981,events,0.0,0.004639163578554617,1,2,0.3333333333333333
982,eventually,0.0,0.01027523787415664,6,1,0.7142857142857143
983,ever,0.0,0.04936015631223038,25,8,0.5151515151515151
984,every,0.0,0.04936015631223038,25,8,0.5151515151515151
987,everything,0.0,0.04030046667575957,20,7,0.48148148148148145
990,ex,0.0,0.007366125204724907,4,1,0.6
993,exactly,0.0,0.007511412231205749,3,2,0.2
1001,excited,0.0,0.023485440821044458,4,11,0.4666666666666667
1008,exhausted,0.0,0.005918409128681631,3,1,0.5
1021,experience,0.0,0.01623735334965299,9,2,0.6363636363636364
