,feature,tfidf,mi_value,df_dep,df_nonDep,cpd
3,able,0.0,0.024471582354118372,7,9,0.125
7,absolutely,0.0,0.018062051483395403,7,5,0.16666666666666666
85,allowed,0.0,0.007676088074605134,2,3,0.2
102,amazing,0.2585105253273459,0.018396590702014833,5,7,0.16666666666666666
128,another,0.0,0.010713043329591993,3,4,0.14285714285714285
134,anxious,0.0,0.007511412231205749,3,2,0.2
232,awful,0.0,0.007511412231205749,3,2,0.2
267,become,0.0,0.007511412231205749,3,2,0.2
361,boyfriend,0.0,0.015026108074736599,6,4,0.2
387,brother,0.0,0.010713043329591993,3,4,0.14285714285714285
422,buy,0.0,0.007511412231205749,3,2,0.2
433,came,0.0,0.016620154418247594,6,5,0.09090909090909091
461,cats,0.0,0.007676088074605134,2,3,0.2
478,changed,0.0,0.007676088074605134,2,3,0.2
525,classes,0.0,0.007511412231205749,3,2,0.2
557,come,0.0,0.018062051483395403,7,5,0.16666666666666666
675,crazy,0.0,0.007511412231205749,3,2,0.2
728,day,0.3713642719759441,0.07025215495375017,21,25,0.08695652173913043
751,definitely,0.0,0.007511412231205749,3,2,0.2
802,difference,0.0,0.007511412231205749,3,2,0.2
947,ended,0.0,0.010547634895469468,4,3,0.14285714285714285
993,exactly,0.0,0.007511412231205749,3,2,0.2
1054,family,0.0,0.04379434469245476,16,13,0.10344827586206896
1147,forever,0.0,0.007676088074605134,2,3,0.2
1165,free,0.0,0.007511412231205749,3,2,0.2
1174,friend,0.0,0.02286118029882999,7,8,0.06666666666666667
1191,full,0.0,0.010547634895469468,4,3,0.14285714285714285
1214,gave,0.0,0.007676088074605134,2,3,0.2
1242,giving,0.0,0.007511412231205749,3,2,0.2
1263,good,0.2092647167861945,0.04573524315822734,14,16,0.06666666666666667
1303,guy,0.0,0.01358388218064877,5,4,0.1111111111111111
1320,handle,0.0,0.010547634895469468,4,3,0.14285714285714285
1324,hang,0.0,0.007511412231205749,3,2,0.2
1361,healthy,0.0,0.007676088074605134,2,3,0.2
1386,hi,0.0,0.007511412231205749,3,2,0.2
1447,house,0.0,0.025579871805420908,10,7,0.17647058823529413
1490,im,0.15770800508113406,0.11472041198889789,43,33,0.13157894736842105
1632,kids,0.0,0.007676088074605134,2,3,0.2
1676,late,0.0,0.007676088074605134,2,3,0.2
1721,life,0.0,0.09963903305107574,37,29,0.12121212121212122
1736,little,0.0,0.03662201271005714,11,13,0.08333333333333333
1741,living,0.0,0.013750029755904761,4,5,0.1111111111111111
1760,lost,0.0,0.015026108074736599,6,4,0.2
1783,made,0.0,0.05609412651784922,19,18,0.02702702702702703
1794,makes,0.0,0.04394778518467606,15,14,0.034482758620689655
1803,managed,0.0,0.007511412231205749,3,2,0.2
1840,means,0.0,0.007676088074605134,2,3,0.2
1876,met,0.0,0.007676088074605134,2,3,0.2
1882,might,0.0,0.01358388218064877,5,4,0.1111111111111111
1918,mom,0.0,0.021098017266319696,8,6,0.14285714285714285
1919,moment,0.0,0.015026108074736599,6,4,0.2
1952,music,0.0,0.010547634895469468,4,3,0.14285714285714285
1985,next,0.0,0.027170017179104847,10,8,0.1111111111111111
2114,partner,0.0,0.007511412231205749,3,2,0.2
2149,person,0.0,0.01358388218064877,5,4,0.1111111111111111
2196,playing,0.0,0.013750029755904761,4,5,0.1111111111111111
2211,poor,0.0,0.007511412231205749,3,2,0.2
2220,post,0.0,0.01358388218064877,5,4,0.1111111111111111
2463,rest,0.0,0.007676088074605134,2,3,0.2
2564,second,0.0,0.021098017266319696,8,6,0.14285714285714285
2674,sister,0.0,0.013750029755904761,4,5,0.1111111111111111
2679,six,0.0,0.007676088074605134,2,3,0.2
2728,social,0.0,0.010547634895469468,4,3,0.14285714285714285
2764,special,0.0,0.007511412231205749,3,2,0.2
2810,stay,0.0,0.007511412231205749,3,2,0.2
2856,struggled,0.0,0.007511412231205749,3,2,0.2
2857,struggling,0.0,0.010713043329591993,3,4,0.14285714285714285
2905,surprised,0.0,0.007511412231205749,3,2,0.2
2955,teeth,0.0,0.007676088074605134,2,3,0.2
2957,telling,0.0,0.015026108074736599,6,4,0.2
2972,test,0.0,0.007511412231205749,3,2,0.2
2979,thank,0.0,0.010713043329591993,3,4,0.14285714285714285
3008,three,0.0,0.010547634895469468,4,3,0.14285714285714285
3034,together,0.0,0.01358388218064877,5,4,0.1111111111111111
3056,towards,0.0,0.007511412231205749,3,2,0.2
3167,us,0.0,0.01358388218064877,5,4,0.1111111111111111
3224,wait,0.0,0.007676088074605134,2,3,0.2
3237,wanted,0.0,0.036824298700132,10,14,0.16666666666666666
3238,wanting,0.0,0.010547634895469468,4,3,0.14285714285714285
3254,watching,0.0,0.010547634895469468,4,3,0.14285714285714285
3316,woman,0.0,0.007676088074605134,2,3,0.2
3359,years,0.0,0.07544188032909031,20,29,0.1836734693877551
3363,yesterday,0.0,0.018062051483395403,7,5,0.16666666666666666
