,feature,tfidf,mi_value,df_dep,df_nonDep,cpd,ig_value
181,asleep,0.0,0.0088183915378462,5,1,0.6666666666666666,0.012722249740267366
182,aslo,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
183,asocial,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
184,aspect,0.0,0.004330567336008411,3,0,1.0,0.006247688019894171
185,aspects,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
186,aspergers,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
187,aspirations,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
188,assault,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
189,assaulted,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
190,assaulting,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
191,assaults,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
192,assessment,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
193,asshole,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
194,associated,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
195,assume,0.0,0.004330567336008411,3,0,1.0,0.006247688019894171
196,assuming,0.0,0.0028825522775071215,2,0,1.0,0.004158643875861512
197,ate,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
198,ativan,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
199,atleast,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
200,atm,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
201,atmosphere,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
202,attached,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
203,attachment,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
204,attack,0.0,0.0088183915378462,5,1,0.6666666666666666,0.012722249740267366
205,attacked,0.0,0.0028825522775071215,2,0,1.0,0.004158643875861512
206,attacking,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
207,attacks,0.0,0.004330567336008411,3,0,1.0,0.006247688019894171
208,attempt,0.0,0.005918409128681631,3,1,0.5,0.008538459499900175
209,attempted,0.0,0.004330567336008411,3,0,1.0,0.006247688019894171
210,attemptedhappened,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
211,attempts,0.0,0.0028825522775071215,2,0,1.0,0.004158643875861512
212,attend,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
213,attendance,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
214,attending,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
215,attention,0.0,0.008701919484577523,6,0,1.0,0.012554216086614667
216,attitude,0.0,0.0032097319616439975,0,2,1.0,0.004630664383645566
217,auction,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
218,audience,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
219,auditory,0.0,0.0028825522775071215,2,0,1.0,0.004158643875861512
220,aunts,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
221,australia,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
222,australian,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
223,automatic,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
224,autonomy,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
225,averaging,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
226,avoid,0.0,0.0028825522775071215,2,0,1.0,0.004158643875861512
227,avoiding,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
228,awake,0.0,0.003036510252257249,1,1,0.0,0.004380758282538699
229,aware,0.0,0.003036510252257249,1,1,0.0,0.004380758282538699
230,away,0.0,0.028135879940401794,17,2,0.7894736842105263,0.04059149446106425
231,awesome,0.0,0.0032097319616439975,0,2,1.0,0.004630664383645566
232,awful,0.0,0.007511412231205749,3,2,0.2,0.010836677176032872
233,awhile,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
234,awkward,0.0,0.004475213862199281,2,1,0.3333333333333333,0.006456368845912053
235,babble,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
236,baby,0.0,0.012731415050296607,1,7,0.75,0.01836754935656104
237,back,0.0,0.063076667987765,32,10,0.5238095238095238,0.0910003961017467
238,background,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
239,bad,0.0,0.054661612071511614,35,1,0.9444444444444444,0.07886003666256469
240,badly,0.0,0.007240221295494479,5,0,1.0,0.010445431357948065
241,bae,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
242,bag,0.0,0.003036510252257249,1,1,0.0,0.004380758282538699
243,balanced,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
244,ball,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
245,balloon,0.0,0.0032097319616439975,0,2,1.0,0.004630664383645566
246,balls,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
247,band,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
248,bands,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
249,bang,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
250,bappy,0.0,0.0032097319616439975,0,2,1.0,0.004630664383645566
251,barely,0.0,0.010168238507650454,7,0,1.0,0.014669667269562425
252,barnes,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
253,barriers,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
254,basic,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
255,basically,0.0,0.013114860983205792,9,0,1.0,0.018920744902417463
256,basis,0.0,0.0028825522775071215,2,0,1.0,0.004158643875861512
257,bat,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
258,bath,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
259,bathroom,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
260,batman,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
261,battle,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
262,bc,0.0,0.004330567336008411,3,0,1.0,0.006247688019894171
263,beach,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
264,beat,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
265,beautiful,0.0,0.012731415050296607,1,7,0.75,0.01836754935656104
266,became,0.0,0.004475213862199281,2,1,0.3333333333333333,0.006456368845912053
267,become,0.0,0.007511412231205749,3,2,0.2,0.010836677176032872
268,becomes,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
269,becoming,0.0,0.004475213862199281,2,1,0.3333333333333333,0.006456368845912053
270,bed,0.0,0.020564448786076904,14,0,1.0,0.0296682282822871
271,bee,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
272,beekeeper,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
273,beepy,0.0,0.0032097319616439975,0,2,1.0,0.004630664383645566
274,beforehand,0.0,0.0028825522775071215,2,0,1.0,0.004158643875861512
275,beforeor,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
276,began,0.0,0.010168238507650454,7,0,1.0,0.014669667269562425
277,begin,0.0,0.0028825522775071215,2,0,1.0,0.004158643875861512
278,beginning,0.0,0.005918409128681631,3,1,0.5,0.008538459499900175
279,behavioral,0.0,0.0028825522775071215,2,0,1.0,0.004158643875861512
280,behaviors,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
281,behaviour,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
282,behind,0.0,0.007366125204724907,4,1,0.6,0.010627072303423746
283,beliefs,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
284,believe,0.0,0.0088183915378462,5,1,0.6666666666666666,0.012722249740267366
285,believed,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
286,believes,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
287,believing,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
288,belly,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
289,belong,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
290,benefit,0.0,0.003036510252257249,1,1,0.0,0.004380758282538699
291,bernie,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
292,best,0.0,0.027708650689466707,7,11,0.2222222222222222,0.03997513293941757
293,betrayed,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
294,better,0.0,0.042085112976262495,17,11,0.21428571428571427,0.060715983786104655
295,beverly,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
296,bid,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
297,big,0.0,0.020445542049384972,3,10,0.5384615384615384,0.02949668212293366
298,bigger,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
299,biggest,0.0,0.004475213862199281,2,1,0.3333333333333333,0.006456368845912053
300,bike,0.0,0.003036510252257249,1,1,0.0,0.004380758282538699
301,bikinis,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
302,bipolar,0.0,0.005783113843806052,4,0,1.0,0.008343269663354747
303,bippy,0.0,0.0032097319616439975,0,2,1.0,0.004630664383645566
304,bird,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
305,birth,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
306,birthday,0.0,0.011102312798384919,1,6,0.7142857142857143,0.01601725161662715
307,bit,0.0,0.017707917033761802,10,2,0.6666666666666666,0.025547124089080442
308,black,0.0,0.004330567336008411,3,0,1.0,0.006247688019894171
309,blacking,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
310,blade,0.0,0.004330567336008411,3,0,1.0,0.006247688019894171
311,blaming,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
312,blanket,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
313,bleed,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
314,bleeding,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
315,blend,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
316,blessed,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
317,blew,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
318,blind,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
319,blinded,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
320,blocked,0.0,0.004475213862199281,2,1,0.3333333333333333,0.006456368845912053
321,blocking,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
322,blood,0.0,0.0088183915378462,5,1,0.6666666666666666,0.012722249740267366
323,blue,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
324,board,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
325,body,0.0,0.016080335720380257,11,0,1.0,0.02319902059962109
326,bogo,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
327,bojack,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
328,bonding,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
329,bone,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
330,bones,0.0,0.003036510252257249,1,1,0.0,0.004380758282538699
331,bonus,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
332,book,0.0,0.004639163578554617,1,2,0.3333333333333333,0.0066928982886529376
333,booked,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
334,books,0.0,0.004639163578554617,1,2,0.3333333333333333,0.0066928982886529376
335,bookworm,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
336,boom,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
337,boost,0.0,0.004822422863544671,0,3,1.0,0.006957285550304726
338,boots,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
339,border,0.0,0.003036510252257249,1,1,0.0,0.004380758282538699
340,borderline,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
341,boring,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
342,born,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
343,boss,0.0,0.005918409128681631,3,1,0.5,0.008538459499900175
344,bosses,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
345,bother,0.0,0.008701919484577523,6,0,1.0,0.012554216086614667
346,bothered,0.0,0.0028825522775071215,2,0,1.0,0.004158643875861512
347,bothering,0.0,0.004330567336008411,3,0,1.0,0.006247688019894171
348,bothers,0.0,0.004330567336008411,3,0,1.0,0.006247688019894171
349,bothersome,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
350,bots,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
351,bottle,0.0,0.003036510252257249,1,1,0.0,0.004380758282538699
352,bottom,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
353,bought,0.0,0.0032097319616439975,0,2,1.0,0.004630664383645566
354,bounce,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
355,boundaries,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
356,boundary,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
357,bout,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
358,bowels,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
359,bowl,0.0,0.003036510252257249,1,1,0.0,0.004380758282538699
360,boy,0.0,0.006440377805464893,0,4,1.0,0.009291501121394652
361,boyfriend,0.0,0.015026108074736599,6,4,0.2,0.021678091603283933
362,boyfriends,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
363,bpd,0.0,0.004330567336008411,3,0,1.0,0.006247688019894171
364,brace,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
365,braces,0.0,0.003036510252257249,1,1,0.0,0.004380758282538699
366,brackets,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
367,brady,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
368,brag,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
369,brain,0.0,0.013202791058922381,8,1,0.7777777777777778,0.019047601186599206
370,brave,0.0,0.0032097319616439975,0,2,1.0,0.004630664383645566
371,break,0.0,0.007366125204724907,4,1,0.6,0.010627072303423746
372,breakdown,0.0,0.0028825522775071215,2,0,1.0,0.004158643875861512
