,feature,tfidf,mi_value,df_dep,df_nonDep,cpd
3,able,0.0,0.024471582354118372,7,9,0.125
9,absolutely,0.0,0.018062051483395403,7,5,0.16666666666666666
70,after,0.0,0.07821447264366835,22,29,0.13725490196078433
91,allowed,0.0,0.007676088074605134,2,3,0.2
109,amazing,0.21832979928787916,0.018396590702014833,5,7,0.16666666666666666
137,another,0.0,0.010713043329591993,3,4,0.14285714285714285
143,anxious,0.0,0.007511412231205749,3,2,0.2
245,awful,0.0,0.007511412231205749,3,2,0.2
282,become,0.0,0.007511412231205749,3,2,0.2
382,boyfriend,0.0,0.015026108074736599,6,4,0.2
408,brother,0.0,0.010713043329591993,3,4,0.14285714285714285
444,buy,0.0,0.007511412231205749,3,2,0.2
456,came,0.0,0.016620154418247594,6,5,0.09090909090909091
485,cats,0.0,0.007676088074605134,2,3,0.2
502,changed,0.0,0.007676088074605134,2,3,0.2
549,classes,0.0,0.007511412231205749,3,2,0.2
581,come,0.0,0.018062051483395403,7,5,0.16666666666666666
699,crazy,0.0,0.007511412231205749,3,2,0.2
752,day,0.3136424981556462,0.07025215495375017,21,25,0.08695652173913043
775,definitely,0.0,0.007511412231205749,3,2,0.2
827,difference,0.0,0.007511412231205749,3,2,0.2
926,during,0.0,0.01535914900508752,4,6,0.2
978,ended,0.0,0.010547634895469468,4,3,0.14285714285714285
1024,exactly,0.0,0.007511412231205749,3,2,0.2
1085,family,0.0,0.04379434469245476,16,13,0.10344827586206896
1180,forever,0.0,0.007676088074605134,2,3,0.2
1198,free,0.0,0.007511412231205749,3,2,0.2
1207,friend,0.0,0.02286118029882999,7,8,0.06666666666666667
1225,full,0.0,0.010547634895469468,4,3,0.14285714285714285
1249,gave,0.0,0.007676088074605134,2,3,0.2
1277,giving,0.0,0.007511412231205749,3,2,0.2
1298,good,0.17673834965176036,0.04573524315822734,14,16,0.06666666666666667
1338,guy,0.0,0.01358388218064877,5,4,0.1111111111111111
1356,handle,0.0,0.010547634895469468,4,3,0.14285714285714285
1360,hang,0.0,0.007511412231205749,3,2,0.2
1394,he,0.0,0.0692933321765779,27,19,0.17391304347826086
1401,healthy,0.0,0.007676088074605134,2,3,0.2
1429,hi,0.0,0.007511412231205749,3,2,0.2
1446,his,0.0,0.04453101208878449,12,17,0.1724137931034483
1493,house,0.0,0.025579871805420908,10,7,0.17647058823529413
1538,im,0.13319518441987968,0.11472041198889789,43,33,0.13157894736842105
1687,kids,0.0,0.007676088074605134,2,3,0.2
1731,late,0.0,0.007676088074605134,2,3,0.2
1776,life,0.0,0.09963903305107574,37,29,0.12121212121212122
1791,little,0.0,0.03662201271005714,11,13,0.08333333333333333
1796,living,0.0,0.013750029755904761,4,5,0.1111111111111111
1815,lost,0.0,0.015026108074736599,6,4,0.2
1838,made,0.0,0.05609412651784922,19,18,0.02702702702702703
1849,makes,0.0,0.04394778518467606,15,14,0.034482758620689655
1858,managed,0.0,0.007511412231205749,3,2,0.2
1896,means,0.0,0.007676088074605134,2,3,0.2
1932,met,0.0,0.007676088074605134,2,3,0.2
1938,might,0.0,0.01358388218064877,5,4,0.1111111111111111
1974,mom,0.0,0.021098017266319696,8,6,0.14285714285714285
1975,moment,0.0,0.015026108074736599,6,4,0.2
2010,music,0.0,0.010547634895469468,4,3,0.14285714285714285
2014,my,0.0,0.47726834546198166,177,135,0.1346153846153846
2045,next,0.0,0.027170017179104847,10,8,0.1111111111111111
2164,own,0.0,0.016620154418247594,6,5,0.09090909090909091
2190,partner,0.0,0.007511412231205749,3,2,0.2
2225,person,0.0,0.01358388218064877,5,4,0.1111111111111111
2272,playing,0.0,0.013750029755904761,4,5,0.1111111111111111
2287,poor,0.0,0.007511412231205749,3,2,0.2
2296,post,0.0,0.01358388218064877,5,4,0.1111111111111111
2433,re,0.0,0.007676088074605134,2,3,0.2
2540,rest,0.0,0.007676088074605134,2,3,0.2
2642,second,0.0,0.021098017266319696,8,6,0.14285714285714285
2754,sister,0.0,0.013750029755904761,4,5,0.1111111111111111
2759,six,0.0,0.007676088074605134,2,3,0.2
2809,social,0.0,0.010547634895469468,4,3,0.14285714285714285
2846,special,0.0,0.007511412231205749,3,2,0.2
2892,stay,0.0,0.007511412231205749,3,2,0.2
2938,struggled,0.0,0.007511412231205749,3,2,0.2
2939,struggling,0.0,0.010713043329591993,3,4,0.14285714285714285
2988,surprised,0.0,0.007511412231205749,3,2,0.2
3038,teeth,0.0,0.007676088074605134,2,3,0.2
3040,telling,0.0,0.015026108074736599,6,4,0.2
3055,test,0.0,0.007511412231205749,3,2,0.2
3063,thank,0.0,0.010713043329591993,3,4,0.14285714285714285
3081,these,0.0,0.03613664388031279,14,10,0.16666666666666666
3103,three,0.0,0.010547634895469468,4,3,0.14285714285714285
3131,together,0.0,0.01358388218064877,5,4,0.1111111111111111
3154,towards,0.0,0.007511412231205749,3,2,0.2
3268,us,0.0,0.01358388218064877,5,4,0.1111111111111111
3295,very,0.0,0.05265291093948029,21,14,0.2
3326,wait,0.0,0.007676088074605134,2,3,0.2
3339,wanted,0.0,0.036824298700132,10,14,0.16666666666666666
3340,wanting,0.0,0.010547634895469468,4,3,0.14285714285714285
3357,watching,0.0,0.010547634895469468,4,3,0.14285714285714285
3430,woman,0.0,0.007676088074605134,2,3,0.2
3474,years,0.0,0.07544188032909031,20,29,0.1836734693877551
3478,yesterday,0.0,0.018062051483395403,7,5,0.16666666666666666
3481,you,0.0,0.09272416714996842,30,31,0.01639344262295082
3484,your,0.0,0.03180190192151476,11,10,0.047619047619047616
