,feature,tfidf,mi_value,df_dep,df_nonDep,cpd
908,driving,0.0,0.007366125204724907,4,1,0.6
917,due,0.0,0.016345312742577986,8,3,0.45454545454545453
926,during,0.0,0.01535914900508752,4,6,0.2
932,early,0.0,0.004475213862199281,2,1,0.3333333333333333
938,easily,0.0,0.004475213862199281,2,1,0.3333333333333333
940,eat,0.0,0.007366125204724907,4,1,0.6
942,eating,0.0,0.014888995558983466,7,3,0.4
950,education,0.0,0.005918409128681631,3,1,0.5
955,eight,0.0,0.004475213862199281,2,1,0.3333333333333333
969,emo,0.0,0.004475213862199281,2,1,0.3333333333333333
970,emotional,0.0,0.007366125204724907,4,1,0.6
977,end,0.0,0.01199018674113236,5,3,0.25
978,ended,0.0,0.010547634895469468,4,3,0.14285714285714285
987,enjoy,0.0,0.007366125204724907,4,1,0.6
989,enough,0.0,0.029705214071195495,16,4,0.6
1012,events,0.0,0.004639163578554617,1,2,0.3333333333333333
1014,ever,0.0,0.04936015631223038,25,8,0.5151515151515151
1015,every,0.0,0.04936015631223038,25,8,0.5151515151515151
1018,everything,0.0,0.04030046667575957,20,7,0.48148148148148145
1021,ex,0.0,0.007366125204724907,4,1,0.6
1024,exactly,0.0,0.007511412231205749,3,2,0.2
1032,excited,0.0,0.023485440821044458,4,11,0.4666666666666667
1039,exhausted,0.0,0.005918409128681631,3,1,0.5
1076,failed,0.0,0.004639163578554617,1,2,0.3333333333333333
1083,fall,0.0,0.011853685370655224,6,2,0.5
1085,family,0.0,0.04379434469245476,16,13,0.10344827586206896
1095,fat,0.0,0.005918409128681631,3,1,0.5
1097,father,0.0,0.007860159198602208,1,4,0.6
1102,favorite,0.0,0.004639163578554617,1,2,0.3333333333333333
1107,feel,0.0,0.14307240570528318,70,23,0.5053763440860215
1108,feeling,0.0,0.041901460882840906,19,9,0.35714285714285715
1110,feels,0.0,0.02084108947520611,10,4,0.42857142857142855
1114,felt,0.0,0.020959665888776798,9,5,0.2857142857142857
1115,female,0.0,0.004639163578554617,1,2,0.3333333333333333
1117,few,0.16220435454197016,0.06153610491190962,31,10,0.5121951219512195
1127,film,0.0,0.004639163578554617,1,2,0.3333333333333333
1129,final,0.0,0.007860159198602208,1,4,0.6
1130,finally,0.0,0.06397380908072403,9,31,0.55
1145,first,0.15890241142231362,0.06929330757330576,13,31,0.4090909090909091
1148,fit,0.0,0.005918409128681631,3,1,0.5
1173,football,0.0,0.005918409128681631,3,1,0.5
1174,for,0.17843620288231626,0.29502856424500845,121,71,0.2604166666666667
1175,force,0.0,0.004475213862199281,2,1,0.3333333333333333
1180,forever,0.0,0.007676088074605134,2,3,0.2
1189,forward,0.0,0.0092843714662038,2,4,0.3333333333333333
1198,free,0.0,0.007511412231205749,3,2,0.2
1207,friend,0.0,0.02286118029882999,7,8,0.06666666666666667
1210,friends,0.0,0.03886741404304361,18,8,0.38461538461538464
1213,from,0.0,0.11324627740948079,50,25,0.3333333333333333
1214,front,0.0,0.004475213862199281,2,1,0.3333333333333333
1225,full,0.0,0.010547634895469468,4,3,0.14285714285714285
1227,fun,0.0,0.007366125204724907,4,1,0.6
1235,funny,0.0,0.007366125204724907,4,1,0.6
1237,future,0.0,0.013935746342606649,3,6,0.3333333333333333
1244,game,0.0,0.004639163578554617,1,2,0.3333333333333333
1249,gave,0.0,0.007676088074605134,2,3,0.2
1261,genuinely,0.0,0.01199018674113236,5,3,0.25
1264,get,0.0,0.13022010540653203,64,21,0.5058823529411764
1265,gets,0.0,0.016345312742577986,8,3,0.45454545454545453
1266,getting,0.0,0.05087947625699648,25,9,0.47058823529411764
1270,girl,0.0,0.011853685370655224,6,2,0.5
1271,girlfriend,0.0,0.013935746342606649,3,6,0.3333333333333333
1274,give,0.0,0.026731279534993498,14,4,0.5555555555555556
1277,giving,0.0,0.007511412231205749,3,2,0.2
1286,go,0.0,0.06301339361087953,30,12,0.42857142857142855
1288,god,0.0,0.004639163578554617,1,2,0.3333333333333333
1297,gonna,0.0,0.007366125204724907,4,1,0.6
1298,good,0.17673834965176036,0.04573524315822734,14,16,0.06666666666666667
1299,goodbye,0.0,0.004639163578554617,1,2,0.3333333333333333
1309,grades,0.0,0.004639163578554617,1,2,0.3333333333333333
1311,graduated,0.0,0.004639163578554617,1,2,0.3333333333333333
1318,great,0.0,0.013437296978133147,6,3,0.3333333333333333
1333,guess,0.0,0.008954287188681836,4,2,0.3333333333333333
1338,guy,0.0,0.01358388218064877,5,4,0.1111111111111111
1339,guys,0.0,0.011853685370655224,6,2,0.5
1342,had,0.26764160737674564,0.11347546106185577,52,23,0.38666666666666666
